date,crime_type,count
01/01/2009,Family Offense,4
01/01/2009,Homicide,1
01/01/2009,Liquor,2
01/01/2009,Property Crime,48
01/01/2009,Robbery,16
01/01/2009,Theft,114
01/01/2009,Theft from Vehicle,11
01/01/2009,Theft of Vehicle,13
01/01/2009,Traffic,9
01/01/2009,Vehicle Recovery,1
01/01/2009,Weapons Offense,4
01/01/2010,Arson,4
01/01/2010,Assault,107
01/01/2010,Breaking & Entering,31
01/01/2010,Disorder,7
01/01/2010,Drugs,20
01/01/2010,Family Offense,3
01/01/2010,Homicide,1
01/01/2010,Property Crime,48
01/01/2010,Robbery,11
01/01/2010,Theft,102
01/01/2010,Theft from Vehicle,11
01/01/2010,Theft of Vehicle,14
01/01/2010,Traffic,7
01/01/2010,Weapons Offense,5
01/01/2011,Arson,2
01/01/2011,Assault,100
01/01/2011,Breaking & Entering,25
01/01/2011,Disorder,4
01/01/2011,Drugs,15
01/01/2011,Homicide,1
01/01/2011,Liquor,1
01/01/2011,Property Crime,33
01/01/2011,Robbery,9
01/01/2011,Theft,83
01/01/2011,Theft from Vehicle,12
01/01/2011,Theft of Vehicle,7
01/01/2011,Traffic,8
01/01/2011,Weapons Offense,3
01/01/2012,Assault,122
01/01/2012,Breaking & Entering,29
01/01/2012,Disorder,4
01/01/2012,Drugs,7
01/01/2012,Family Offense,4
01/01/2012,Property Crime,69
01/01/2012,Robbery,10
01/01/2012,Theft,73
01/01/2012,Theft from Vehicle,13
01/01/2012,Theft of Vehicle,18
01/01/2012,Traffic,14
01/01/2012,Weapons Offense,3
01/01/2013,Arson,1
01/01/2013,Assault,102
01/01/2013,Breaking & Entering,40
01/01/2013,Disorder,6
01/01/2013,Drugs,8
01/01/2013,Liquor,1
01/01/2013,Property Crime,40
01/01/2013,Robbery,8
01/01/2013,Theft,85
01/01/2013,Theft from Vehicle,5
01/01/2013,Theft of Vehicle,8
01/01/2013,Traffic,2
01/01/2013,Vehicle Recovery,3
01/01/2013,Weapons Offense,1
01/01/2014,Arson,1
01/01/2014,Assault,109
01/01/2014,Breaking & Entering,27
01/01/2014,Disorder,7
01/01/2014,Drugs,10
01/01/2014,Family Offense,2
01/01/2014,Kidnapping,1
01/01/2014,Property Crime,44
01/01/2014,Robbery,14
01/01/2014,Theft,73
01/01/2014,Theft from Vehicle,13
01/01/2014,Theft of Vehicle,4
01/01/2014,Traffic,4
01/01/2014,Vehicle Recovery,1
01/01/2014,Weapons Offense,2
01/01/2015,Arson,1
01/01/2015,Assault,85
01/01/2015,Breaking & Entering,27
01/01/2015,Disorder,5
01/01/2015,Drugs,8
01/01/2015,Family Offense,1
01/01/2015,Kidnapping,1
01/01/2015,Property Crime,50
01/01/2015,Robbery,3
01/01/2015,Theft,79
01/01/2015,Theft from Vehicle,13
01/01/2015,Theft of Vehicle,11
01/01/2015,Traffic,6
01/01/2015,Vehicle Recovery,1
01/01/2015,Weapons Offense,1
01/01/2016,Arson,1
01/01/2016,Assault,102
01/01/2016,Breaking & Entering,25
01/01/2016,Disorder,2
01/01/2016,Drugs,14
01/01/2016,Family Offense,2
01/01/2016,Property Crime,51
01/01/2016,Robbery,14
01/01/2016,Theft,64
01/01/2016,Theft from Vehicle,11
01/01/2016,Theft of Vehicle,8
01/01/2016,Traffic,2
01/01/2016,Vehicle Recovery,1
01/01/2016,Weapons Offense,5
01/01/2017,Arson,2
01/01/2017,Assault,115
01/01/2017,Breaking & Entering,28
01/01/2017,Disorder,7
01/01/2017,Drugs,6
01/01/2017,Family Offense,1
01/01/2017,Homicide,1
01/01/2017,Kidnapping,2
01/01/2017,Property Crime,59
01/01/2017,Robbery,8
01/01/2017,Theft,62
01/01/2017,Theft from Vehicle,18
01/01/2017,Theft of Vehicle,12
01/01/2017,Traffic,2
01/01/2017,Vehicle Recovery,1
01/01/2017,Weapons Offense,2
01/01/2018,Arson,1
01/01/2018,Assault,77
01/01/2018,Breaking & Entering,16
01/01/2018,Disorder,8
01/01/2018,Drugs,1
01/01/2018,Family Offense,1
01/01/2018,Property Crime,64
01/01/2018,Robbery,14
01/01/2018,Theft,69
01/01/2018,Theft from Vehicle,16
01/01/2018,Theft of Vehicle,18
01/01/2018,Vehicle Recovery,1
01/01/2018,Weapons Offense,1
01/01/2019,Assault,100
01/01/2019,Breaking & Entering,22
01/01/2019,Disorder,11
01/01/2019,Drugs,6
01/01/2019,Family Offense,2
01/01/2019,Homicide,1
01/01/2019,Kidnapping,1
01/01/2019,Property Crime,63
01/01/2019,Robbery,6
01/01/2019,Theft,70
01/01/2019,Theft from Vehicle,12
01/01/2019,Theft of Vehicle,12
01/01/2019,Traffic,3
01/01/2019,Weapons Offense,4
01/01/2020,Arson,5
01/01/2020,Assault,107
01/01/2020,Breaking & Entering,19
01/01/2020,Disorder,9
01/01/2020,Drugs,9
01/01/2020,Family Offense,3
01/01/2020,Kidnapping,1
01/01/2020,Liquor,2
01/01/2020,Property Crime,63
01/01/2020,Robbery,11
01/01/2020,Theft,65
01/01/2020,Theft from Vehicle,13
01/01/2020,Theft of Vehicle,16
01/01/2020,Traffic,5
01/01/2020,Vehicle Recovery,1
01/01/2020,Weapons Offense,3
01/01/2021,Assault,121
01/01/2021,Breaking & Entering,13
01/01/2021,Disorder,8
01/01/2021,Drugs,12
01/01/2021,Family Offense,2
01/01/2021,Homicide,1
01/01/2021,Property Crime,60
01/01/2021,Robbery,7
01/01/2021,Theft,74
01/01/2021,Theft from Vehicle,22
01/01/2021,Theft of Vehicle,10
01/01/2021,Traffic,5
01/01/2021,Vehicle Recovery,1
01/01/2021,Weapons Offense,15
01/01/2022,Arson,1
01/01/2022,Assault,95
01/01/2022,Breaking & Entering,12
01/01/2022,Disorder,2
01/01/2022,Drugs,6
01/01/2022,Homicide,1
01/01/2022,Property Crime,51
01/01/2022,Robbery,4
01/01/2022,Theft,50
01/01/2022,Theft from Vehicle,13
01/01/2022,Theft of Vehicle,19
01/01/2022,Traffic,1
01/01/2022,Vehicle Recovery,3
01/01/2022,Weapons Offense,15
01/02/1999,Theft,1
01/02/2001,Theft,2
01/02/2002,Theft,1
01/02/2003,Theft,1
01/02/2004,Theft,1
01/02/2005,Assault,1
01/02/2005,Property Crime,1
01/02/2005,Robbery,1
01/02/2005,Theft,2
01/02/2005,Theft from Vehicle,1
01/02/2005,Theft of Vehicle,1
01/02/2005,Weapons Offense,1
01/02/2006,Arson,2
01/02/2006,Assault,86
01/02/2006,Breaking & Entering,29
01/02/2006,Disorder,1
01/02/2006,Drugs,17
01/02/2006,Property Crime,43
01/02/2006,Robbery,16
01/02/2006,Theft,52
01/02/2006,Theft from Vehicle,36
01/02/2006,Theft of Vehicle,16
01/02/2006,Vehicle Recovery,6
01/02/2006,Weapons Offense,2
01/02/2007,Arson,2
01/02/2007,Assault,68
01/02/2007,Breaking & Entering,50
01/02/2007,Disorder,3
01/02/2007,Drugs,19
01/02/2007,Family Offense,1
01/02/2007,Kidnapping,2
01/02/2007,Property Crime,37
01/02/2007,Robbery,11
01/02/2007,Theft,53
01/02/2007,Theft from Vehicle,35
01/02/2007,Theft of Vehicle,36
01/02/2007,Traffic,2
01/02/2007,Vehicle Recovery,1
01/02/2007,Weapons Offense,1
01/02/2008,Arson,1
01/02/2008,Assault,76
01/02/2008,Breaking & Entering,34
01/02/2008,Disorder,1
01/02/2008,Drugs,16
01/02/2008,Family Offense,1
01/02/2008,Kidnapping,1
01/02/2008,Property Crime,34
01/02/2008,Robbery,10
01/02/2008,Theft,59
01/02/2008,Theft from Vehicle,32
01/02/2008,Theft of Vehicle,15
01/02/2008,Traffic,2
01/02/2008,Weapons Offense,3
01/02/2009,Assault,70
01/02/2009,Breaking & Entering,26
01/02/2009,Disorder,1
01/02/2009,Drugs,23
01/02/2009,Family Offense,2
01/02/2009,Homicide,1
01/02/2009,Kidnapping,1
01/02/2009,Property Crime,45
01/02/2009,Robbery,21
01/02/2009,Theft,56
01/02/2009,Theft from Vehicle,24
01/02/2009,Theft of Vehicle,12
01/02/2009,Traffic,2
01/02/2009,Vehicle Recovery,1
01/02/2009,Weapons Offense,4
01/02/2010,Assault,68
01/02/2010,Breaking & Entering,27
01/02/2010,Disorder,2
01/02/2010,Drugs,10
01/02/2010,Family Offense,2
01/02/2010,Homicide,1
01/02/2010,Property Crime,22
01/02/2010,Robbery,9
01/02/2010,Theft,53
01/02/2010,Theft from Vehicle,21
01/02/2010,Theft of Vehicle,7
01/02/2010,Traffic,1
01/02/2010,Vehicle Recovery,2
01/02/2010,Weapons Offense,1
01/02/2011,Arson,3
01/02/2011,Assault,66
01/02/2011,Breaking & Entering,22
01/02/2011,Disorder,3
01/02/2011,Drugs,14
01/02/2011,Property Crime,29
01/02/2011,Robbery,9
01/02/2011,Theft,28
01/02/2011,Theft from Vehicle,13
01/02/2011,Theft of Vehicle,12
01/02/2011,Traffic,4
01/02/2011,Vehicle Recovery,1
01/02/2011,Weapons Offense,4
01/02/2012,Arson,2
01/02/2012,Assault,82
01/02/2012,Breaking & Entering,37
01/02/2012,Disorder,4
01/02/2012,Drugs,15
01/02/2012,Family Offense,1
01/02/2012,Liquor,1
01/02/2012,Property Crime,43
01/02/2012,Robbery,9
01/02/2012,Theft,45
01/02/2012,Theft from Vehicle,12
01/02/2012,Theft of Vehicle,7
01/02/2012,Traffic,3
01/02/2012,Weapons Offense,2
01/02/2013,Assault,64
01/02/2013,Breaking & Entering,25
01/02/2013,Disorder,2
01/02/2013,Drugs,17
01/02/2013,Property Crime,34
01/02/2013,Theft,45
01/02/2013,Theft from Vehicle,10
01/02/2013,Theft of Vehicle,6
01/02/2013,Vehicle Recovery,1
01/02/2013,Weapons Offense,1
01/02/2014,Arson,1
01/02/2014,Assault,52
01/02/2014,Breaking & Entering,20
01/02/2014,Disorder,3
01/02/2014,Drugs,20
01/02/2014,Family Offense,2
01/02/2014,Property Crime,28
01/02/2014,Robbery,11
01/02/2014,Theft,61
01/02/2014,Theft from Vehicle,14
01/02/2014,Theft of Vehicle,2
01/02/2014,Traffic,1
01/02/2014,Weapons Offense,2
01/02/2015,Assault,62
01/02/2015,Breaking & Entering,30
01/02/2015,Disorder,4
01/02/2015,Drugs,9
01/02/2015,Property Crime,25
01/02/2015,Robbery,6
01/02/2015,Theft,58
01/02/2015,Theft from Vehicle,11
01/02/2015,Theft of Vehicle,5
01/02/2015,Traffic,4
01/02/2015,Weapons Offense,5
01/02/2016,Arson,2
01/02/2016,Assault,65
01/02/2016,Breaking & Entering,21
01/02/2016,Disorder,3
01/02/2016,Drugs,8
01/02/2016,Liquor,1
01/02/2016,Property Crime,36
01/02/2016,Robbery,11
01/02/2016,Theft,62
01/02/2016,Theft from Vehicle,17
01/02/2016,Theft of Vehicle,6
01/02/2016,Traffic,1
01/02/2016,Weapons Offense,2
01/02/2017,Assault,76
01/02/2017,Breaking & Entering,23
01/02/2017,Disorder,3
01/02/2017,Drugs,6
01/02/2017,Kidnapping,1
01/02/2017,Property Crime,31
01/02/2017,Robbery,17
01/02/2017,Theft,55
01/02/2017,Theft from Vehicle,21
01/02/2017,Theft of Vehicle,8
01/02/2017,Vehicle Recovery,2
01/02/2017,Weapons Offense,3
01/02/2018,Assault,77
01/02/2018,Breaking & Entering,27
01/02/2018,Drugs,3
01/02/2018,Family Offense,1
01/02/2018,Liquor,2
01/02/2018,Property Crime,49
01/02/2018,Robbery,13
01/02/2018,Theft,58
01/02/2018,Theft from Vehicle,31
01/02/2018,Theft of Vehicle,25
01/02/2018,Vehicle Recovery,2
01/02/2018,Weapons Offense,2
01/02/2019,Arson,1
01/02/2019,Assault,63
01/02/2019,Breaking & Entering,19
01/02/2019,Disorder,7
01/02/2019,Drugs,12
01/02/2019,Family Offense,1
01/02/2019,Property Crime,39
01/02/2019,Robbery,5
01/02/2019,Theft,54
01/02/2019,Theft from Vehicle,16
01/02/2019,Theft of Vehicle,15
01/02/2019,Traffic,1
01/02/2019,Vehicle Recovery,2
01/02/2019,Weapons Offense,1
01/02/2020,Assault,42
01/02/2020,Breaking & Entering,18
01/02/2020,Disorder,5
01/02/2020,Drugs,12
01/02/2020,Homicide,2
01/02/2020,Property Crime,32
01/02/2020,Robbery,3
01/02/2020,Theft,66
01/02/2020,Theft from Vehicle,20
01/02/2020,Theft of Vehicle,8
01/02/2020,Traffic,1
01/02/2020,Weapons Offense,5
01/02/2021,Arson,1
01/02/2021,Assault,61
01/02/2021,Breaking & Entering,7
01/02/2021,Disorder,4
01/02/2021,Drugs,11
01/02/2021,Family Offense,2
01/02/2021,Homicide,2
01/02/2021,Property Crime,41
01/02/2021,Robbery,12
01/02/2021,Theft,53
01/02/2021,Theft from Vehicle,12
01/02/2021,Theft of Vehicle,13
01/02/2021,Vehicle Recovery,2
01/02/2021,Weapons Offense,10
01/02/2022,Arson,2
01/02/2022,Assault,52
01/02/2022,Breaking & Entering,7
01/02/2022,Disorder,2
01/02/2022,Drugs,6
01/02/2022,Family Offense,2
01/02/2022,Property Crime,22
01/02/2022,Robbery,12
01/02/2022,Theft,34
01/02/2022,Theft from Vehicle,20
01/02/2022,Theft of Vehicle,13
01/02/2022,Traffic,1
01/02/2022,Weapons Offense,4
01/03/1999,Theft,1
01/03/2001,Theft,1
01/03/2004,Theft,1
01/03/2005,Assault,1
01/03/2005,Breaking & Entering,2
01/03/2005,Property Crime,1
01/03/2005,Robbery,1
01/03/2005,Theft,3
01/03/2005,Theft from Vehicle,1
01/03/2006,Arson,3
01/03/2006,Assault,72
01/03/2006,Breaking & Entering,36
01/03/2006,Disorder,2
01/03/2006,Drugs,14
01/03/2006,Property Crime,40
01/03/2006,Robbery,18
01/03/2006,Theft,69
01/03/2006,Theft from Vehicle,30
01/03/2006,Theft of Vehicle,28
01/03/2006,Vehicle Recovery,3
01/03/2006,Weapons Offense,6
01/03/2007,Arson,1
01/03/2007,Assault,78
01/03/2007,Breaking & Entering,44
01/03/2007,Disorder,3
01/03/2007,Drugs,22
01/03/2007,Family Offense,1
01/03/2007,Homicide,1
01/03/2007,Kidnapping,1
01/03/2007,Property Crime,51
01/03/2007,Robbery,14
01/03/2007,Theft,53
01/03/2007,Theft from Vehicle,36
01/03/2007,Theft of Vehicle,19
01/03/2007,Vehicle Recovery,2
01/03/2007,Weapons Offense,1
01/03/2008,Arson,3
01/03/2008,Assault,79
01/03/2008,Breaking & Entering,33
01/03/2008,Drugs,23
01/03/2008,Kidnapping,1
01/03/2008,Property Crime,40
01/03/2008,Robbery,16
01/03/2008,Theft,47
01/03/2008,Theft from Vehicle,28
01/03/2008,Theft of Vehicle,16
01/03/2008,Vehicle Recovery,2
01/03/2008,Weapons Offense,5
01/03/2009,Arson,2
01/03/2009,Assault,94
01/03/2009,Breaking & Entering,34
01/03/2009,Disorder,3
01/03/2009,Drugs,27
01/03/2009,Family Offense,5
01/03/2009,Property Crime,39
01/03/2009,Robbery,16
01/03/2009,Theft,62
01/03/2009,Theft from Vehicle,13
01/03/2009,Theft of Vehicle,8
01/03/2009,Traffic,2
01/03/2009,Weapons Offense,3
01/03/2010,Arson,1
01/03/2010,Assault,71
01/03/2010,Breaking & Entering,24
01/03/2010,Disorder,1
01/03/2010,Drugs,12
01/03/2010,Kidnapping,3
01/03/2010,Property Crime,21
01/03/2010,Robbery,5
01/03/2010,Theft,44
01/03/2010,Theft from Vehicle,16
01/03/2010,Theft of Vehicle,11
01/03/2010,Traffic,4
01/03/2010,Weapons Offense,1
01/03/2011,Arson,1
01/03/2011,Assault,82
01/03/2011,Breaking & Entering,42
01/03/2011,Disorder,2
01/03/2011,Drugs,17
01/03/2011,Family Offense,3
01/03/2011,Property Crime,22
01/03/2011,Robbery,17
01/03/2011,Theft,69
01/03/2011,Theft from Vehicle,14
01/03/2011,Theft of Vehicle,11
01/03/2011,Traffic,1
01/03/2011,Weapons Offense,4
01/03/2012,Arson,2
01/03/2012,Assault,69
01/03/2012,Breaking & Entering,44
01/03/2012,Disorder,3
01/03/2012,Drugs,20
01/03/2012,Family Offense,1
01/03/2012,Kidnapping,1
01/03/2012,Liquor,1
01/03/2012,Property Crime,27
01/03/2012,Robbery,9
01/03/2012,Theft,55
01/03/2012,Theft from Vehicle,10
01/03/2012,Theft of Vehicle,9
01/03/2012,Traffic,2
01/03/2012,Weapons Offense,4
01/03/2013,Arson,1
01/03/2013,Assault,49
01/03/2013,Breaking & Entering,39
01/03/2013,Disorder,1
01/03/2013,Drugs,18
01/03/2013,Family Offense,1
01/03/2013,Property Crime,32
01/03/2013,Robbery,11
01/03/2013,Theft,49
01/03/2013,Theft from Vehicle,11
01/03/2013,Theft of Vehicle,3
01/03/2013,Traffic,1
01/03/2013,Vehicle Recovery,3
01/03/2013,Weapons Offense,4
01/03/2014,Assault,65
01/03/2014,Breaking & Entering,31
01/03/2014,Disorder,5
01/03/2014,Drugs,18
01/03/2014,Family Offense,2
01/03/2014,Liquor,1
01/03/2014,Property Crime,33
01/03/2014,Robbery,10
01/03/2014,Theft,55
01/03/2014,Theft from Vehicle,11
01/03/2014,Theft of Vehicle,12
01/03/2014,Traffic,2
01/03/2014,Vehicle Recovery,3
01/03/2014,Weapons Offense,6
01/03/2015,Arson,1
01/03/2015,Assault,77
01/03/2015,Breaking & Entering,31
01/03/2015,Disorder,2
01/03/2015,Drugs,3
01/03/2015,Family Offense,1
01/03/2015,Property Crime,26
01/03/2015,Robbery,9
01/03/2015,Theft,46
01/03/2015,Theft from Vehicle,19
01/03/2015,Theft of Vehicle,3
01/03/2015,Traffic,2
01/03/2015,Vehicle Recovery,2
01/03/2015,Weapons Offense,2
01/03/2016,Assault,80
01/03/2016,Breaking & Entering,14
01/03/2016,Disorder,1
01/03/2016,Drugs,12
01/03/2016,Property Crime,46
01/03/2016,Robbery,9
01/03/2016,Theft,37
01/03/2016,Theft from Vehicle,12
01/03/2016,Theft of Vehicle,10
01/03/2016,Weapons Offense,3
01/03/2017,Assault,93
01/03/2017,Breaking & Entering,34
01/03/2017,Disorder,8
01/03/2017,Drugs,8
01/03/2017,Family Offense,2
01/03/2017,Kidnapping,1
01/03/2017,Liquor,2
01/03/2017,Property Crime,42
01/03/2017,Robbery,10
01/03/2017,Theft,56
01/03/2017,Theft from Vehicle,22
01/03/2017,Theft of Vehicle,11
01/03/2017,Traffic,1
01/03/2017,Vehicle Recovery,2
01/03/2017,Weapons Offense,3
01/03/2018,Assault,54
01/03/2018,Breaking & Entering,21
01/03/2018,Disorder,6
01/03/2018,Drugs,12
01/03/2018,Family Offense,1
01/03/2018,Property Crime,34
01/03/2018,Robbery,15
01/03/2018,Theft,58
01/03/2018,Theft from Vehicle,14
01/03/2018,Theft of Vehicle,23
01/03/2018,Vehicle Recovery,1
01/03/2018,Weapons Offense,1
01/03/2019,Arson,2
01/03/2019,Assault,67
01/03/2019,Breaking & Entering,20
01/03/2019,Disorder,4
01/03/2019,Drugs,20
01/03/2019,Family Offense,1
01/03/2019,Liquor,1
01/03/2019,Property Crime,24
01/03/2019,Robbery,9
01/03/2019,Theft,75
01/03/2019,Theft from Vehicle,14
01/03/2019,Theft of Vehicle,17
01/03/2019,Traffic,2
01/03/2019,Vehicle Recovery,1
01/03/2020,Arson,1
01/03/2020,Assault,76
01/03/2020,Breaking & Entering,15
01/03/2020,Disorder,7
01/03/2020,Drugs,14
01/03/2020,Family Offense,2
01/03/2020,Homicide,3
01/03/2020,Property Crime,40
01/03/2020,Robbery,7
01/03/2020,Theft,52
01/03/2020,Theft from Vehicle,16
01/03/2020,Theft of Vehicle,10
01/03/2020,Traffic,1
01/03/2020,Vehicle Recovery,1
01/03/2020,Weapons Offense,6
01/03/2021,Assault,58
01/03/2021,Breaking & Entering,16
01/03/2021,Disorder,2
01/03/2021,Drugs,6
01/03/2021,Homicide,1
01/03/2021,Property Crime,27
01/03/2021,Robbery,10
01/03/2021,Theft,41
01/03/2021,Theft from Vehicle,24
01/03/2021,Theft of Vehicle,21
01/03/2021,Vehicle Recovery,3
01/03/2021,Weapons Offense,11
01/03/2022,Arson,1
01/03/2022,Assault,61
01/03/2022,Breaking & Entering,19
01/03/2022,Disorder,3
01/03/2022,Drugs,12
01/03/2022,Homicide,1
01/03/2022,Kidnapping,3
01/03/2022,Property Crime,32
01/03/2022,Robbery,9
01/03/2022,Theft,43
01/03/2022,Theft from Vehicle,22
01/03/2022,Theft of Vehicle,28
01/03/2022,Traffic,2
01/03/2022,Weapons Offense,11
01/04/2005,Assault,1
01/04/2005,Drugs,1
01/04/2005,Theft,3
01/04/2006,Assault,75
01/04/2006,Breaking & Entering,38
01/04/2006,Disorder,2
01/04/2006,Drugs,32
01/04/2006,Property Crime,44
01/04/2006,Robbery,19
01/04/2006,Theft,49
01/04/2006,Theft from Vehicle,31
01/04/2006,Theft of Vehicle,32
01/04/2006,Vehicle Recovery,4
01/04/2006,Weapons Offense,7
01/04/2007,Assault,62
01/04/2007,Breaking & Entering,36
01/04/2007,Disorder,3
01/04/2007,Drugs,29
01/04/2007,Property Crime,36
01/04/2007,Robbery,25
01/04/2007,Theft,65
01/04/2007,Theft from Vehicle,31
01/04/2007,Theft of Vehicle,25
01/04/2007,Traffic,2
01/04/2007,Vehicle Recovery,3
01/04/2007,Weapons Offense,5
01/04/2008,Arson,1
01/04/2008,Assault,87
01/04/2008,Breaking & Entering,51
01/04/2008,Disorder,3
01/04/2008,Drugs,25
01/04/2008,Property Crime,50
01/04/2008,Robbery,20
01/04/2008,Theft,75
01/04/2008,Theft from Vehicle,36
01/04/2008,Theft of Vehicle,16
01/04/2008,Traffic,3
01/04/2008,Weapons Offense,8
01/04/2009,Assault,69
01/04/2009,Breaking & Entering,27
01/04/2009,Disorder,3
01/04/2009,Drugs,6
01/04/2009,Family Offense,1
01/04/2009,Kidnapping,1
01/04/2009,Liquor,1
01/04/2009,Property Crime,28
01/04/2009,Robbery,13
01/04/2009,Theft,50
01/04/2009,Theft from Vehicle,30
01/04/2009,Theft of Vehicle,19
01/04/2009,Traffic,4
01/04/2009,Vehicle Recovery,2
01/04/2009,Weapons Offense,2
01/04/2010,Arson,1
01/04/2010,Assault,78
01/04/2010,Breaking & Entering,35
01/04/2010,Disorder,3
01/04/2010,Drugs,20
01/04/2010,Family Offense,1
01/04/2010,Property Crime,18
01/04/2010,Robbery,6
01/04/2010,Theft,61
01/04/2010,Theft from Vehicle,15
01/04/2010,Theft of Vehicle,17
01/04/2010,Traffic,1
01/04/2010,Vehicle Recovery,2
01/04/2010,Weapons Offense,5
01/04/2011,Arson,1
01/04/2011,Assault,82
01/04/2011,Breaking & Entering,24
01/04/2011,Disorder,2
01/04/2011,Drugs,19
01/04/2011,Homicide,1
01/04/2011,Kidnapping,1
01/04/2011,Property Crime,24
01/04/2011,Robbery,4
01/04/2011,Theft,43
01/04/2011,Theft from Vehicle,16
01/04/2011,Theft of Vehicle,10
01/04/2011,Traffic,2
01/04/2011,Vehicle Recovery,1
01/04/2011,Weapons Offense,4
01/04/2012,Arson,1
01/04/2012,Assault,69
01/04/2012,Breaking & Entering,40
01/04/2012,Disorder,2
01/04/2012,Drugs,19
01/04/2012,Family Offense,1
01/04/2012,Liquor,1
01/04/2012,Property Crime,45
01/04/2012,Robbery,15
01/04/2012,Theft,42
01/04/2012,Theft from Vehicle,9
01/04/2012,Theft of Vehicle,11
01/04/2012,Traffic,4
01/04/2012,Vehicle Recovery,1
01/04/2012,Weapons Offense,3
01/04/2013,Arson,1
01/04/2013,Assault,74
01/04/2013,Breaking & Entering,44
01/04/2013,Disorder,3
01/04/2013,Drugs,21
01/04/2013,Family Offense,2
01/04/2013,Kidnapping,1
01/04/2013,Property Crime,36
01/04/2013,Robbery,7
01/04/2013,Theft,69
01/04/2013,Theft from Vehicle,18
01/04/2013,Theft of Vehicle,10
01/04/2013,Traffic,4
01/04/2013,Vehicle Recovery,1
01/04/2013,Weapons Offense,5
01/04/2014,Arson,1
01/04/2014,Assault,58
01/04/2014,Breaking & Entering,26
01/04/2014,Disorder,5
01/04/2014,Drugs,10
01/04/2014,Family Offense,1
01/04/2014,Liquor,2
01/04/2014,Property Crime,25
01/04/2014,Robbery,7
01/04/2014,Theft,57
01/04/2014,Theft from Vehicle,17
01/04/2014,Theft of Vehicle,7
01/04/2014,Traffic,2
01/04/2014,Weapons Offense,5
01/04/2015,Assault,58
01/04/2015,Breaking & Entering,18
01/04/2015,Disorder,2
01/04/2015,Drugs,5
01/04/2015,Liquor,1
01/04/2015,Property Crime,23
01/04/2015,Robbery,6
01/04/2015,Theft,32
01/04/2015,Theft from Vehicle,15
01/04/2015,Theft of Vehicle,9
01/04/2015,Traffic,3
01/04/2016,Arson,3
01/04/2016,Assault,64
01/04/2016,Breaking & Entering,32
01/04/2016,Disorder,3
01/04/2016,Drugs,8
01/04/2016,Family Offense,1
01/04/2016,Homicide,2
01/04/2016,Property Crime,34
01/04/2016,Robbery,9
01/04/2016,Theft,49
01/04/2016,Theft from Vehicle,10
01/04/2016,Theft of Vehicle,9
01/04/2016,Traffic,3
01/04/2016,Vehicle Recovery,1
01/04/2016,Weapons Offense,4
01/04/2017,Assault,66
01/04/2017,Breaking & Entering,30
01/04/2017,Disorder,7
01/04/2017,Drugs,14
01/04/2017,Liquor,1
01/04/2017,Property Crime,31
01/04/2017,Robbery,4
01/04/2017,Theft,58
01/04/2017,Theft from Vehicle,11
01/04/2017,Theft of Vehicle,13
01/04/2017,Traffic,1
01/04/2017,Vehicle Recovery,2
01/04/2017,Weapons Offense,2
01/04/2018,Assault,63
01/04/2018,Breaking & Entering,20
01/04/2018,Disorder,5
01/04/2018,Drugs,20
01/04/2018,Homicide,1
01/04/2018,Kidnapping,1
01/04/2018,Property Crime,27
