city,date,crime_type,crime_count,daily_cases,total_cases
Memphis,2018-01-06,vehicle recovery,3,0,0
Memphis,2018-01-06,family offense,2,0,0
Memphis,2018-01-06,kidnapping,1,0,0
Memphis,2018-01-06,homicide,1,0,0
Memphis,2018-01-07,robbery,11,0,0
Memphis,2018-01-07,assault,72,0,0
Memphis,2018-01-07,drugs,6,0,0
Memphis,2018-01-07,theft,45,0,0
Memphis,2018-01-07,weapons offense,0,0,0
Memphis,2018-01-07,breaking & entering,21,0,0
Memphis,2018-01-07,property crime,31,0,0
Memphis,2018-01-07,theft of vehicle,10,0,0
Memphis,2018-01-07,theft from vehicle,19,0,0
Memphis,2018-01-07,liquor,0,0,0
Memphis,2018-01-07,arson,0,0,0
Memphis,2018-01-07,disorder,1,0,0
Memphis,2018-01-07,traffic,1,0,0
Memphis,2018-01-07,vehicle recovery,0,0,0
Memphis,2018-01-07,family offense,4,0,0
Memphis,2018-01-07,kidnapping,0,0,0
Memphis,2018-01-07,homicide,1,0,0
Memphis,2018-01-08,robbery,15,0,0
Memphis,2018-01-08,assault,59,0,0
Memphis,2018-01-08,drugs,2,0,0
Memphis,2018-01-08,theft,59,0,0
Memphis,2018-01-08,weapons offense,1,0,0
Memphis,2018-01-08,breaking & entering,21,0,0
Memphis,2018-01-08,property crime,36,0,0
Memphis,2018-01-08,theft of vehicle,18,0,0
Memphis,2018-01-08,theft from vehicle,27,0,0
Memphis,2018-01-08,liquor,0,0,0
Memphis,2018-01-08,arson,1,0,0
Memphis,2018-01-08,disorder,1,0,0
Memphis,2018-01-08,traffic,0,0,0
Memphis,2018-01-08,vehicle recovery,2,0,0
Memphis,2018-01-08,family offense,1,0,0
Memphis,2018-01-08,kidnapping,1,0,0
Memphis,2018-01-08,homicide,1,0,0
Memphis,2018-01-09,robbery,12,0,0
Memphis,2018-01-09,assault,73,0,0
Memphis,2018-01-09,drugs,7,0,0
Memphis,2018-01-09,theft,65,0,0
Memphis,2018-01-09,weapons offense,1,0,0
Memphis,2018-01-09,breaking & entering,26,0,0
Memphis,2018-01-09,property crime,32,0,0
Memphis,2018-01-09,theft of vehicle,9,0,0
Memphis,2018-01-09,theft from vehicle,15,0,0
Memphis,2018-01-09,liquor,1,0,0
Memphis,2018-01-09,arson,0,0,0
Memphis,2018-01-09,disorder,2,0,0
Memphis,2018-01-09,traffic,1,0,0
Memphis,2018-01-09,vehicle recovery,0,0,0
Memphis,2018-01-09,family offense,0,0,0
Memphis,2018-01-09,kidnapping,0,0,0
Memphis,2018-01-09,homicide,0,0,0
Memphis,2018-01-10,robbery,8,0,0
Memphis,2018-01-10,assault,71,0,0
Memphis,2018-01-10,drugs,12,0,0
Memphis,2018-01-10,theft,56,0,0
Memphis,2018-01-10,weapons offense,6,0,0
Memphis,2018-01-10,breaking & entering,26,0,0
Memphis,2018-01-10,property crime,29,0,0
Memphis,2018-01-10,theft of vehicle,14,0,0
Memphis,2018-01-10,theft from vehicle,24,0,0
Memphis,2018-01-10,liquor,0,0,0
Memphis,2018-01-10,arson,0,0,0
Memphis,2018-01-10,disorder,5,0,0
Memphis,2018-01-10,traffic,4,0,0
Memphis,2018-01-10,vehicle recovery,3,0,0
Memphis,2018-01-10,family offense,2,0,0
Memphis,2018-01-10,kidnapping,0,0,0
Memphis,2018-01-10,homicide,0,0,0
Memphis,2018-01-11,robbery,7,0,0
Memphis,2018-01-11,assault,60,0,0
Memphis,2018-01-11,drugs,4,0,0
Memphis,2018-01-11,theft,52,0,0
Memphis,2018-01-11,weapons offense,2,0,0
Memphis,2018-01-11,breaking & entering,35,0,0
Memphis,2018-01-11,property crime,40,0,0
Memphis,2018-01-11,theft of vehicle,12,0,0
Memphis,2018-01-11,theft from vehicle,27,0,0
Memphis,2018-01-11,liquor,1,0,0
Memphis,2018-01-11,arson,1,0,0
Memphis,2018-01-11,disorder,3,0,0
Memphis,2018-01-11,traffic,2,0,0
Memphis,2018-01-11,vehicle recovery,0,0,0
Memphis,2018-01-11,family offense,0,0,0
Memphis,2018-01-11,kidnapping,0,0,0
Memphis,2018-01-11,homicide,0,0,0
Memphis,2018-01-12,robbery,5,0,0
Memphis,2018-01-12,assault,39,0,0
Memphis,2018-01-12,drugs,4,0,0
Memphis,2018-01-12,theft,27,0,0
Memphis,2018-01-12,weapons offense,2,0,0
Memphis,2018-01-12,breaking & entering,15,0,0
Memphis,2018-01-12,property crime,17,0,0
Memphis,2018-01-12,theft of vehicle,19,0,0
Memphis,2018-01-12,theft from vehicle,7,0,0
Memphis,2018-01-12,liquor,0,0,0
Memphis,2018-01-12,arson,0,0,0
Memphis,2018-01-12,disorder,0,0,0
Memphis,2018-01-12,traffic,0,0,0
Memphis,2018-01-12,vehicle recovery,4,0,0
Memphis,2018-01-12,family offense,0,0,0
Memphis,2018-01-12,kidnapping,0,0,0
Memphis,2018-01-12,homicide,0,0,0
Memphis,2018-01-13,robbery,6,0,0
Memphis,2018-01-13,assault,41,0,0
Memphis,2018-01-13,drugs,1,0,0
Memphis,2018-01-13,theft,53,0,0
Memphis,2018-01-13,weapons offense,1,0,0
Memphis,2018-01-13,breaking & entering,14,0,0
Memphis,2018-01-13,property crime,24,0,0
Memphis,2018-01-13,theft of vehicle,16,0,0
Memphis,2018-01-13,theft from vehicle,24,0,0
Memphis,2018-01-13,liquor,0,0,0
Memphis,2018-01-13,arson,0,0,0
Memphis,2018-01-13,disorder,3,0,0
Memphis,2018-01-13,traffic,1,0,0
Memphis,2018-01-13,vehicle recovery,3,0,0
Memphis,2018-01-13,family offense,0,0,0
Memphis,2018-01-13,kidnapping,0,0,0
Memphis,2018-01-13,homicide,0,0,0
Memphis,2018-01-14,robbery,7,0,0
Memphis,2018-01-14,assault,49,0,0
Memphis,2018-01-14,drugs,5,0,0
Memphis,2018-01-14,theft,36,0,0
Memphis,2018-01-14,weapons offense,1,0,0
Memphis,2018-01-14,breaking & entering,11,0,0
Memphis,2018-01-14,property crime,30,0,0
Memphis,2018-01-14,theft of vehicle,19,0,0
Memphis,2018-01-14,theft from vehicle,26,0,0
Memphis,2018-01-14,liquor,1,0,0
Memphis,2018-01-14,arson,0,0,0
Memphis,2018-01-14,disorder,2,0,0
Memphis,2018-01-14,traffic,0,0,0
Memphis,2018-01-14,vehicle recovery,1,0,0
Memphis,2018-01-14,family offense,1,0,0
Memphis,2018-01-14,kidnapping,0,0,0
Memphis,2018-01-14,homicide,1,0,0
Memphis,2018-01-15,robbery,15,0,0
Memphis,2018-01-15,assault,50,0,0
Memphis,2018-01-15,drugs,9,0,0
Memphis,2018-01-15,theft,63,0,0
Memphis,2018-01-15,weapons offense,3,0,0
Memphis,2018-01-15,breaking & entering,23,0,0
Memphis,2018-01-15,property crime,28,0,0
Memphis,2018-01-15,theft of vehicle,24,0,0
Memphis,2018-01-15,theft from vehicle,23,0,0
Memphis,2018-01-15,liquor,1,0,0
Memphis,2018-01-15,arson,0,0,0
Memphis,2018-01-15,disorder,7,0,0
Memphis,2018-01-15,traffic,3,0,0
Memphis,2018-01-15,vehicle recovery,2,0,0
Memphis,2018-01-15,family offense,1,0,0
Memphis,2018-01-15,kidnapping,0,0,0
Memphis,2018-01-15,homicide,0,0,0
Memphis,2018-01-16,robbery,5,0,0
Memphis,2018-01-16,assault,51,0,0
Memphis,2018-01-16,drugs,6,0,0
Memphis,2018-01-16,theft,30,0,0
Memphis,2018-01-16,weapons offense,1,0,0
Memphis,2018-01-16,breaking & entering,16,0,0
Memphis,2018-01-16,property crime,27,0,0
Memphis,2018-01-16,theft of vehicle,26,0,0
Memphis,2018-01-16,theft from vehicle,17,0,0
Memphis,2018-01-16,liquor,0,0,0
Memphis,2018-01-16,arson,1,0,0
Memphis,2018-01-16,disorder,3,0,0
Memphis,2018-01-16,traffic,0,0,0
Memphis,2018-01-16,vehicle recovery,3,0,0
Memphis,2018-01-16,family offense,0,0,0
Memphis,2018-01-16,kidnapping,0,0,0
Memphis,2018-01-16,homicide,0,0,0
Memphis,2018-01-17,robbery,7,0,0
Memphis,2018-01-17,assault,60,0,0
Memphis,2018-01-17,drugs,4,0,0
Memphis,2018-01-17,theft,53,0,0
Memphis,2018-01-17,weapons offense,0,0,0
Memphis,2018-01-17,breaking & entering,21,0,0
Memphis,2018-01-17,property crime,32,0,0
Memphis,2018-01-17,theft of vehicle,35,0,0
Memphis,2018-01-17,theft from vehicle,24,0,0
Memphis,2018-01-17,liquor,3,0,0
Memphis,2018-01-17,arson,0,0,0
Memphis,2018-01-17,disorder,1,0,0
Memphis,2018-01-17,traffic,1,0,0
Memphis,2018-01-17,vehicle recovery,2,0,0
Memphis,2018-01-17,family offense,0,0,0
Memphis,2018-01-17,kidnapping,0,0,0
Memphis,2018-01-17,homicide,2,0,0
Memphis,2018-01-18,robbery,11,0,0
Memphis,2018-01-18,assault,38,0,0
Memphis,2018-01-18,drugs,12,0,0
Memphis,2018-01-18,theft,49,0,0
Memphis,2018-01-18,weapons offense,4,0,0
Memphis,2018-01-18,breaking & entering,22,0,0
Memphis,2018-01-18,property crime,16,0,0
Memphis,2018-01-18,theft of vehicle,18,0,0
Memphis,2018-01-18,theft from vehicle,26,0,0
Memphis,2018-01-18,liquor,1,0,0
Memphis,2018-01-18,arson,1,0,0
Memphis,2018-01-18,disorder,6,0,0
Memphis,2018-01-18,traffic,1,0,0
Memphis,2018-01-18,vehicle recovery,3,0,0
Memphis,2018-01-18,family offense,1,0,0
Memphis,2018-01-18,kidnapping,1,0,0
Memphis,2018-01-18,homicide,0,0,0
Memphis,2018-01-19,robbery,15,0,0
Memphis,2018-01-19,assault,49,0,0
Memphis,2018-01-19,drugs,16,0,0
Memphis,2018-01-19,theft,62,0,0
Memphis,2018-01-19,weapons offense,2,0,0
Memphis,2018-01-19,breaking & entering,31,0,0
Memphis,2018-01-19,property crime,27,0,0
Memphis,2018-01-19,theft of vehicle,28,0,0
Memphis,2018-01-19,theft from vehicle,15,0,0
Memphis,2018-01-19,liquor,1,0,0
Memphis,2018-01-19,arson,1,0,0
Memphis,2018-01-19,disorder,2,0,0
Memphis,2018-01-19,traffic,5,0,0
Memphis,2018-01-19,vehicle recovery,0,0,0
Memphis,2018-01-19,family offense,1,0,0
Memphis,2018-01-19,kidnapping,2,0,0
Memphis,2018-01-19,homicide,0,0,0
Memphis,2018-01-20,robbery,12,0,0
Memphis,2018-01-20,assault,56,0,0
Memphis,2018-01-20,drugs,8,0,0
Memphis,2018-01-20,theft,42,0,0
Memphis,2018-01-20,weapons offense,3,0,0
Memphis,2018-01-20,breaking & entering,28,0,0
Memphis,2018-01-20,property crime,28,0,0
Memphis,2018-01-20,theft of vehicle,13,0,0
Memphis,2018-01-20,theft from vehicle,22,0,0
Memphis,2018-01-20,liquor,1,0,0
Memphis,2018-01-20,arson,0,0,0
Memphis,2018-01-20,disorder,3,0,0
Memphis,2018-01-20,traffic,3,0,0
Memphis,2018-01-20,vehicle recovery,2,0,0
Memphis,2018-01-20,family offense,0,0,0
Memphis,2018-01-20,kidnapping,0,0,0
Memphis,2018-01-20,homicide,0,0,0
Memphis,2018-01-21,robbery,8,0,0
Memphis,2018-01-21,assault,81,0,0
Memphis,2018-01-21,drugs,10,0,0
Memphis,2018-01-21,theft,51,0,0
Memphis,2018-01-21,weapons offense,3,0,0
Memphis,2018-01-21,breaking & entering,14,0,0
Memphis,2018-01-21,property crime,36,0,0
Memphis,2018-01-21,theft of vehicle,13,0,0
Memphis,2018-01-21,theft from vehicle,22,0,0
Memphis,2018-01-21,liquor,1,0,0
Memphis,2018-01-21,arson,0,0,0
Memphis,2018-01-21,disorder,5,0,0
Memphis,2018-01-21,traffic,1,0,0
Memphis,2018-01-21,vehicle recovery,3,0,0
Memphis,2018-01-21,family offense,1,0,0
Memphis,2018-01-21,kidnapping,0,0,0
Memphis,2018-01-21,homicide,0,0,0
Memphis,2018-01-22,robbery,7,0,0
Memphis,2018-01-22,assault,74,0,0
Memphis,2018-01-22,drugs,14,0,0
Memphis,2018-01-22,theft,66,0,0
Memphis,2018-01-22,weapons offense,5,0,0
Memphis,2018-01-22,breaking & entering,34,0,0
Memphis,2018-01-22,property crime,45,0,0
Memphis,2018-01-22,theft of vehicle,12,0,0
Memphis,2018-01-22,theft from vehicle,28,0,0
Memphis,2018-01-22,liquor,1,0,0
Memphis,2018-01-22,arson,0,0,0
Memphis,2018-01-22,disorder,1,0,0
Memphis,2018-01-22,traffic,2,0,0
Memphis,2018-01-22,vehicle recovery,2,0,0
Memphis,2018-01-22,family offense,3,0,0
Memphis,2018-01-22,kidnapping,0,0,0
Memphis,2018-01-22,homicide,2,0,0
Memphis,2018-01-23,robbery,11,0,0
Memphis,2018-01-23,assault,70,0,0
Memphis,2018-01-23,drugs,24,0,0
Memphis,2018-01-23,theft,66,0,0
Memphis,2018-01-23,weapons offense,7,0,0
Memphis,2018-01-23,breaking & entering,25,0,0
Memphis,2018-01-23,property crime,26,0,0
Memphis,2018-01-23,theft of vehicle,10,0,0
Memphis,2018-01-23,theft from vehicle,27,0,0
Memphis,2018-01-23,liquor,0,0,0
Memphis,2018-01-23,arson,1,0,0
Memphis,2018-01-23,disorder,5,0,0
Memphis,2018-01-23,traffic,0,0,0
Memphis,2018-01-23,vehicle recovery,1,0,0
Memphis,2018-01-23,family offense,0,0,0
Memphis,2018-01-23,kidnapping,1,0,0
Memphis,2018-01-23,homicide,1,0,0
Memphis,2018-01-24,robbery,4,0,0
Memphis,2018-01-24,assault,58,0,0
Memphis,2018-01-24,drugs,17,0,0
Memphis,2018-01-24,theft,73,0,0
Memphis,2018-01-24,weapons offense,7,0,0
Memphis,2018-01-24,breaking & entering,27,0,0
Memphis,2018-01-24,property crime,26,0,0
Memphis,2018-01-24,theft of vehicle,13,0,0
Memphis,2018-01-24,theft from vehicle,18,0,0
Memphis,2018-01-24,liquor,0,0,0
Memphis,2018-01-24,arson,1,0,0
Memphis,2018-01-24,disorder,6,0,0
Memphis,2018-01-24,traffic,1,0,0
Memphis,2018-01-24,vehicle recovery,1,0,0
Memphis,2018-01-24,family offense,0,0,0
Memphis,2018-01-24,kidnapping,1,0,0
Memphis,2018-01-24,homicide,0,0,0
Memphis,2018-01-25,robbery,9,0,0
Memphis,2018-01-25,assault,67,0,0
Memphis,2018-01-25,drugs,16,0,0
Memphis,2018-01-25,theft,71,0,0
Memphis,2018-01-25,weapons offense,5,0,0
Memphis,2018-01-25,breaking & entering,25,0,0
Memphis,2018-01-25,property crime,37,0,0
Memphis,2018-01-25,theft of vehicle,12,0,0
Memphis,2018-01-25,theft from vehicle,23,0,0
Memphis,2018-01-25,liquor,0,0,0
Memphis,2018-01-25,arson,2,0,0
Memphis,2018-01-25,disorder,2,0,0
Memphis,2018-01-25,traffic,1,0,0
Memphis,2018-01-25,vehicle recovery,5,0,0
Memphis,2018-01-25,family offense,0,0,0
Memphis,2018-01-25,kidnapping,0,0,0
Memphis,2018-01-25,homicide,0,0,0
Memphis,2018-01-26,robbery,7,0,0
Memphis,2018-01-26,assault,70,0,0
Memphis,2018-01-26,drugs,17,0,0
Memphis,2018-01-26,theft,66,0,0
Memphis,2018-01-26,weapons offense,4,0,0
Memphis,2018-01-26,breaking & entering,25,0,0
Memphis,2018-01-26,property crime,27,0,0
Memphis,2018-01-26,theft of vehicle,16,0,0
Memphis,2018-01-26,theft from vehicle,23,0,0
Memphis,2018-01-26,liquor,0,0,0
Memphis,2018-01-26,arson,0,0,0
Memphis,2018-01-26,disorder,5,0,0
Memphis,2018-01-26,traffic,1,0,0
Memphis,2018-01-26,vehicle recovery,4,0,0
Memphis,2018-01-26,family offense,2,0,0
Memphis,2018-01-26,kidnapping,0,0,0
Memphis,2018-01-26,homicide,0,0,0
Memphis,2018-01-27,robbery,8,0,0
Memphis,2018-01-27,assault,72,0,0
Memphis,2018-01-27,drugs,10,0,0
Memphis,2018-01-27,theft,67,0,0
Memphis,2018-01-27,weapons offense,2,0,0
Memphis,2018-01-27,breaking & entering,20,0,0
Memphis,2018-01-27,property crime,40,0,0
Memphis,2018-01-27,theft of vehicle,12,0,0
Memphis,2018-01-27,theft from vehicle,24,0,0
Memphis,2018-01-27,liquor,0,0,0
Memphis,2018-01-27,arson,1,0,0
Memphis,2018-01-27,disorder,4,0,0
Memphis,2018-01-27,traffic,2,0,0
Memphis,2018-01-27,vehicle recovery,1,0,0
Memphis,2018-01-27,family offense,0,0,0
Memphis,2018-01-27,kidnapping,2,0,0
Memphis,2018-01-27,homicide,1,0,0
Memphis,2018-01-28,robbery,5,0,0
Memphis,2018-01-28,assault,67,0,0
Memphis,2018-01-28,drugs,15,0,0
Memphis,2018-01-28,theft,71,0,0
Memphis,2018-01-28,weapons offense,2,0,0
Memphis,2018-01-28,breaking & entering,21,0,0
Memphis,2018-01-28,property crime,27,0,0
Memphis,2018-01-28,theft of vehicle,12,0,0
Memphis,2018-01-28,theft from vehicle,24,0,0
Memphis,2018-01-28,liquor,0,0,0
Memphis,2018-01-28,arson,1,0,0
Memphis,2018-01-28,disorder,6,0,0
Memphis,2018-01-28,traffic,2,0,0
Memphis,2018-01-28,vehicle recovery,3,0,0
Memphis,2018-01-28,family offense,0,0,0
Memphis,2018-01-28,kidnapping,0,0,0
Memphis,2018-01-28,homicide,1,0,0
Memphis,2018-01-29,robbery,3,0,0
Memphis,2018-01-29,assault,52,0,0
Memphis,2018-01-29,drugs,8,0,0
Memphis,2018-01-29,theft,57,0,0
Memphis,2018-01-29,weapons offense,4,0,0
Memphis,2018-01-29,breaking & entering,25,0,0
Memphis,2018-01-29,property crime,25,0,0
Memphis,2018-01-29,theft of vehicle,19,0,0
Memphis,2018-01-29,theft from vehicle,20,0,0
Memphis,2018-01-29,liquor,0,0,0
Memphis,2018-01-29,arson,2,0,0
Memphis,2018-01-29,disorder,2,0,0
Memphis,2018-01-29,traffic,0,0,0
Memphis,2018-01-29,vehicle recovery,1,0,0
Memphis,2018-01-29,family offense,1,0,0
Memphis,2018-01-29,kidnapping,1,0,0
Memphis,2018-01-29,homicide,0,0,0
Memphis,2018-01-30,robbery,7,0,0
Memphis,2018-01-30,assault,74,0,0
Memphis,2018-01-30,drugs,15,0,0
Memphis,2018-01-30,theft,54,0,0
Memphis,2018-01-30,weapons offense,5,0,0
Memphis,2018-01-30,breaking & entering,28,0,0
Memphis,2018-01-30,property crime,19,0,0
Memphis,2018-01-30,theft of vehicle,16,0,0
Memphis,2018-01-30,theft from vehicle,14,0,0
Memphis,2018-01-30,liquor,1,0,0
Memphis,2018-01-30,arson,0,0,0
Memphis,2018-01-30,disorder,4,0,0
Memphis,2018-01-30,traffic,3,0,0
Memphis,2018-01-30,vehicle recovery,0,0,0
Memphis,2018-01-30,family offense,2,0,0
Memphis,2018-01-30,kidnapping,1,0,0
Memphis,2018-01-30,homicide,1,0,0
Memphis,2018-01-31,robbery,11,0,0
Memphis,2018-01-31,assault,59,0,0
Memphis,2018-01-31,drugs,18,0,0
Memphis,2018-01-31,theft,65,0,0
Memphis,2018-01-31,weapons offense,4,0,0
Memphis,2018-01-31,breaking & entering,21,0,0
Memphis,2018-01-31,property crime,34,0,0
Memphis,2018-01-31,theft of vehicle,18,0,0
Memphis,2018-01-31,theft from vehicle,14,0,0
Memphis,2018-01-31,liquor,0,0,0
Memphis,2018-01-31,arson,1,0,0
Memphis,2018-01-31,disorder,4,0,0
Memphis,2018-01-31,traffic,1,0,0
Memphis,2018-01-31,vehicle recovery,2,0,0
Memphis,2018-01-31,family offense,0,0,0
Memphis,2018-01-31,kidnapping,0,0,0
Memphis,2018-01-31,homicide,0,0,0
Memphis,2018-02-01,robbery,5,0,0
Memphis,2018-02-01,assault,74,0,0
Memphis,2018-02-01,drugs,18,0,0
Memphis,2018-02-01,theft,64,0,0
Memphis,2018-02-01,weapons offense,3,0,0
Memphis,2018-02-01,breaking & entering,24,0,0
Memphis,2018-02-01,property crime,34,0,0
Memphis,2018-02-01,theft of vehicle,11,0,0
Memphis,2018-02-01,theft from vehicle,13,0,0
Memphis,2018-02-01,liquor,0,0,0
Memphis,2018-02-01,arson,0,0,0
Memphis,2018-02-01,disorder,5,0,0
Memphis,2018-02-01,traffic,0,0,0
Memphis,2018-02-01,vehicle recovery,2,0,0
Memphis,2018-02-01,family offense,1,0,0
Memphis,2018-02-01,kidnapping,0,0,0
Memphis,2018-02-01,homicide,1,0,0
Memphis,2018-02-02,robbery,6,0,0
Memphis,2018-02-02,assault,67,0,0
Memphis,2018-02-02,drugs,28,0,0
Memphis,2018-02-02,theft,56,0,0
Memphis,2018-02-02,weapons offense,5,0,0
Memphis,2018-02-02,breaking & entering,17,0,0
Memphis,2018-02-02,property crime,41,0,0
Memphis,2018-02-02,theft of vehicle,27,0,0
Memphis,2018-02-02,theft from vehicle,11,0,0
Memphis,2018-02-02,liquor,2,0,0
Memphis,2018-02-02,arson,0,0,0
Memphis,2018-02-02,disorder,7,0,0
Memphis,2018-02-02,traffic,3,0,0
Memphis,2018-02-02,vehicle recovery,5,0,0
Memphis,2018-02-02,family offense,0,0,0
Memphis,2018-02-02,kidnapping,0,0,0
Memphis,2018-02-02,homicide,0,0,0
Memphis,2018-02-03,robbery,6,0,0
Memphis,2018-02-03,assault,75,0,0
Memphis,2018-02-03,drugs,15,0,0
Memphis,2018-02-03,theft,65,0,0
Memphis,2018-02-03,weapons offense,2,0,0
Memphis,2018-02-03,breaking & entering,22,0,0
Memphis,2018-02-03,property crime,22,0,0
Memphis,2018-02-03,theft of vehicle,12,0,0
Memphis,2018-02-03,theft from vehicle,31,0,0
Memphis,2018-02-03,liquor,0,0,0
Memphis,2018-02-03,arson,1,0,0
Memphis,2018-02-03,disorder,9,0,0
Memphis,2018-02-03,traffic,2,0,0
Memphis,2018-02-03,vehicle recovery,2,0,0
Memphis,2018-02-03,family offense,1,0,0
Memphis,2018-02-03,kidnapping,0,0,0
Memphis,2018-02-03,homicide,1,0,0
Memphis,2018-02-04,robbery,6,0,0
Memphis,2018-02-04,assault,84,0,0
Memphis,2018-02-04,drugs,7,0,0
Memphis,2018-02-04,theft,41,0,0
Memphis,2018-02-04,weapons offense,3,0,0
Memphis,2018-02-04,breaking & entering,23,0,0
Memphis,2018-02-04,property crime,39,0,0
Memphis,2018-02-04,theft of vehicle,11,0,0
Memphis,2018-02-04,theft from vehicle,20,0,0
Memphis,2018-02-04,liquor,1,0,0
Memphis,2018-02-04,arson,0,0,0
Memphis,2018-02-04,disorder,2,0,0
Memphis,2018-02-04,traffic,4,0,0
Memphis,2018-02-04,vehicle recovery,1,0,0
Memphis,2018-02-04,family offense,1,0,0
Memphis,2018-02-04,kidnapping,1,0,0
Memphis,2018-02-04,homicide,0,0,0
Memphis,2018-02-05,robbery,5,0,0
Memphis,2018-02-05,assault,78,0,0
Memphis,2018-02-05,drugs,18,0,0
Memphis,2018-02-05,theft,44,0,0
Memphis,2018-02-05,weapons offense,4,0,0
Memphis,2018-02-05,breaking & entering,22,0,0
Memphis,2018-02-05,property crime,28,0,0
Memphis,2018-02-05,theft of vehicle,20,0,0
Memphis,2018-02-05,theft from vehicle,28,0,0
Memphis,2018-02-05,liquor,1,0,0
Memphis,2018-02-05,arson,1,0,0
Memphis,2018-02-05,disorder,8,0,0
Memphis,2018-02-05,traffic,2,0,0
